timestamp,feature,model,input_tokens,output_tokens,estimated_cost
2026-06-26 16:25:47.327820,llm_ecosystem_router,gpt-4.1,56,43,3.4e-05
2026-06-26 16:25:48.961434,llm_ecosystem_router,gpt-4.1,53,136,9e-05
2026-06-26 16:26:12.376242,llm_ecosystem_router,gpt-5.2,68,1432,0.000869
2026-06-26 16:26:29.638506,llm_ecosystem_router,gpt-5.2,54,1054,0.000641
2026-06-26 16:37:54.470347,llm_ecosystem_router,gpt-4.1,56,37,3.1e-05
2026-06-26 16:37:56.646103,llm_ecosystem_router,gpt-4.1,53,145,9.5e-05
2026-06-26 16:38:16.344835,llm_ecosystem_router,gpt-5.2,68,1215,0.000739
2026-06-26 16:38:33.880196,llm_ecosystem_router,gpt-5.2,54,903,0.00055
